id,fwd,bkwd,author_name
1,1,1,Martin le Beguin
2,1,1,Wasteblé
3,92,1,Pons de Capdoill
4,2,1,Pons de la Garda
5,1,1,Jordan Bonel de Cofolen
6,29,1,Arnaut de Maroill
7,1,3,Monge de Foissan
8,14,20,Bertran de Born
9,51,2,Gaucelm Faidit
10,5,1,Joan Lag
11,1,33,Raimon de Tors
12,2,34,Peire Cardenal
13,5,2,Eble d'Uisel
14,1,1,Hartwig von Raute
15,1,4,Jori
16,1,1,Rudolf von Fenis
17,19,1,Gace Brulé
18,1,5,Guigo de Cabanas
19,42,3,Guillem de Berguedan
20,1,23,Guiraut Riquier
21,47,10,Raimbaut de Vaqueiras
22,41,9,Aimeric de Peguilhan
23,4,1,Richart de Berbezill
24,91,8,Raimon de Miraval
25,1,2,Peire de Bragairac
26,13,1,Peire Raimon de Toloza
27,1,8,Berenguier de Palazol
28,1,1,Moniot d'Arras
29,1,1,Philippe de Nanteuil
30,26,4,Gui d'Uisel
31,94,7,Peirol
32,1,8,Guilhem d'Autpol
33,1,1,Author of BdT 461.189
34,4,14,Guillem del Baus
35,1,16,Coms de Proensa
36,22,11,Gui de Cavaillo
37,2,1,Lo Vesques de Basaz
38,2,6,Uc (Baussan)
39,1,1,Peire de Valeira
40,2,5,Dalfin d'Alvernhe
41,105,2,Folquet de Marseilla
42,2,28,Bertran d'Alamano
43,2,10,Monge de Montaudo
44,1,2,Gavaudan
45,1,3,Guillem de la Tor
46,74,1,Bernart de Ventadorn
47,1,1,Bernart Marti
48,1,4,Pons de Monlaur
49,1,19,Peire Bremon Ricas Novas
50,7,24,Serveri de Girona
51,6,31,Uc de Saint Circ
52,7,17,Sordel
53,117,1,Peire Vidal
54,1,1,Peire Rogier
55,1,14,Blacatz
56,1,1,Author of RS 1576a
57,18,1,Raimbaut III d'Aurenga
58,44,1,Peire Raimon de Toloza (lo vielh)
59,1,1,Daude de Pradas
60,3,4,Marcabru
61,1,1,Cercamon
62,42,1,Albertet de Sestaro
63,98,9,Giraut de Borneill
64,1,1,Monge
